 id;Current;Voltage
  0; 7.385; 230.000
  1; 7.418; 230.000
  2; 0.235; 230.000
  3; 0.235; 230.000
  4; 0.235; 230.000
  5; 0.235; 230.000
  6; 0.235; 230.000
  7; 0.166; 230.000
  8; 5.538; 230.000
  9; 0.499; 230.000
 10; 0.408; 230.000
 11; 0.372; 230.000
 12; 2.214; 230.000
 13; 2.275; 230.000
 14; 2.195; 230.000
 15; 2.207; 230.000
 16; 2.287; 230.000
 17; 5.508; 230.000
 18; 5.600; 230.000
 19; 5.605; 230.000
 20; 5.615; 230.000
 21; 5.580; 230.000
 22; 5.647; 230.000
 23; 5.659; 230.000
 24; 5.523; 230.000
 25; 5.488; 230.000
 26; 5.518; 230.000
 27; 5.696; 230.000
 28; 7.296; 230.000
 29; 7.305; 230.000
 30; 7.235; 230.000
 31; 0.576; 230.000
 32; 0.526; 230.000
 33; 0.526; 230.000
 34; 0.552; 230.000
 35; 7.394; 230.000
 36; 7.429; 230.000
 37; 7.424; 230.000
 38; 7.394; 230.000
 39; 7.260; 230.000
 40; 7.336; 230.000
 41; 7.415; 230.000
 42; 7.373; 230.000
 43; 7.428; 230.000
 44; 7.345; 230.000
 45; 5.568; 230.000
 46; 5.578; 230.000
 47; 0.235; 230.000
 48; 0.166; 230.000
 49; 5.689; 230.000
 50; 0.166; 230.000
 51; 0.235; 230.000
 52; 0.408; 230.000
 53; 0.372; 230.000
 54; 0.372; 230.000
 55; 0.408; 230.000
 56; 0.499; 230.000
 57; 0.372; 230.000
 58; 0.499; 230.000
 59; 2.238; 230.000
 60; 2.201; 230.000
 61; 2.226; 230.000
 62; 2.245; 230.000
 63; 2.226; 230.000
 64; 0.333; 230.000
 65; 0.408; 230.000
 66; 0.372; 230.000
 67; 0.440; 230.000
 68; 5.543; 230.000
 69; 7.268; 230.000
 70; 7.311; 230.000
 71; 5.513; 230.000
 72; 2.238; 230.000
 73; 2.275; 230.000
 74; 2.251; 230.000
 75; 2.281; 230.000
 76; 2.195; 230.000
 77; 2.188; 230.000
 78; 2.207; 230.000
 79; 2.207; 230.000
 80; 2.305; 230.000
 81; 2.311; 230.000
 82; 2.169; 230.000
 83; 2.188; 230.000
 84; 2.311; 230.000
 85; 2.281; 230.000
 86; 2.214; 230.000
 87; 2.201; 230.000
 88; 2.232; 230.000
 89; 2.251; 230.000
 90; 2.245; 230.000
 91; 2.214; 230.000
 92; 2.232; 230.000
 93; 2.214; 230.000
 94; 2.263; 230.000
 95; 2.263; 230.000
 96; 2.317; 230.000
 97; 2.329; 230.000
 98; 2.281; 230.000
 99; 2.275; 230.000
100; 2.287; 230.000
101; 2.269; 230.000
102; 2.281; 230.000
103; 2.275; 230.000
104; 2.201; 230.000
105; 2.287; 230.000
106; 2.257; 230.000
107; 2.347; 230.000
108; 2.226; 230.000
109; 2.275; 230.000
110; 2.257; 230.000
111; 2.305; 230.000
112; 2.182; 230.000
113; 2.207; 230.000
114; 2.150; 230.000
115; 2.323; 230.000
116; 2.182; 230.000
117; 2.257; 230.000
118; 2.281; 230.000
119; 2.201; 230.000
120; 2.245; 230.000
121; 2.118; 230.000
122; 2.317; 230.000
123; 0.235; 230.000
124; 0.166; 230.000
125; 0.235; 230.000
126; 0.288; 230.000
127; 0.166; 230.000
128; 0.235; 230.000
129; 0.235; 230.000
130; 0.235; 230.000
131; 0.166; 230.000
132; 0.235; 230.000
133; 0.166; 230.000
134; 0.166; 230.000
135; 0.235; 230.000
136; 0.166; 230.000
137; 0.166; 230.000
138; 0.235; 230.000
139; 0.235; 230.000
140; 0.235; 230.000
141; 0.235; 230.000
142; 0.166; 230.000
143; 0.235; 230.000
144; 0.333; 230.000
145; 0.288; 230.000
146; 0.166; 230.000
147; 0.235; 230.000
148; 0.235; 230.000
149; 0.235; 230.000
150; 0.288; 230.000
151; 0.288; 230.000
152; 0.235; 230.000
153; 0.333; 230.000
154; 0.235; 230.000
155; 0.166; 230.000
156; 0.000; 230.000
157; 0.166; 230.000
158; 0.166; 230.000
159; 0.235; 230.000
160; 0.288; 230.000
161; 2.226; 230.000
162; 2.269; 230.000
163; 2.214; 230.000
164; 2.226; 230.000
165; 2.226; 230.000
166; 2.311; 230.000
167; 2.263; 230.000
168; 2.238; 230.000
169; 2.251; 230.000
170; 2.182; 230.000
171; 2.226; 230.000
172; 0.333; 230.000
173; 0.408; 230.000
174; 0.372; 230.000
175; 2.131; 230.000
176; 2.188; 230.000
177; 2.293; 230.000
178; 2.287; 230.000
179; 2.232; 230.000
180; 7.550; 230.000
181; 7.204; 230.000
182; 7.300; 230.000
183; 0.000; 230.000
184; 0.235; 230.000
185; 0.235; 230.000
186; 0.166; 230.000
187; 0.235; 230.000
188; 0.235; 230.000
189; 0.372; 230.000
190; 0.235; 230.000
191; 0.235; 230.000
192; 0.166; 230.000
193; 0.166; 230.000
194; 0.235; 230.000
195; 0.166; 230.000
196; 0.235; 230.000
197; 0.235; 230.000
198; 0.235; 230.000
199; 0.288; 230.000
200; 0.166; 230.000
201; 0.235; 230.000
202; 0.166; 230.000
203; 0.166; 230.000
204; 0.166; 230.000
205; 0.288; 230.000
206; 0.235; 230.000
207; 0.235; 230.000
208; 0.166; 230.000
209; 0.166; 230.000
210; 0.288; 230.000
211; 0.333; 230.000
212; 0.333; 230.000
213; 0.166; 230.000
214; 0.235; 230.000
215; 0.408; 230.000
216; 0.235; 230.000
217; 0.235; 230.000
218; 0.288; 230.000
219; 0.235; 230.000
220; 0.235; 230.000
221; 0.235; 230.000
222; 0.166; 230.000
223; 0.288; 230.000
224; 0.333; 230.000
225; 0.235; 230.000
226; 0.166; 230.000
227; 0.408; 230.000
228; 0.235; 230.000
229; 0.166; 230.000
230; 0.235; 230.000
231; 0.166; 230.000
232; 0.235; 230.000
233; 0.166; 230.000
234; 0.166; 230.000
235; 0.166; 230.000
236; 0.235; 230.000
237; 0.235; 230.000
238; 0.166; 230.000
239; 5.445; 230.000
